context,question,golden_answer,our_answer_wo_context,our_answer_w_context
"The Chronicles of Narnia The Chronicles of Narnia boxed set ( in publication order ) The Lion , the Witch and the Wardrobe ( 1950 ) Prince Caspian ( 1951 ) The Voyage of the Dawn Treader ( 1952 ) The Silver Chair ( 1953 ) The Horse and His Boy ( 1954 ) The Magician 's Nephew ( 1955 ) The Last Battle ( 1956 ) Author C.S. Lewis Illustrator Pauline Baynes Country United Kingdom Language English Genre Fantasy Children 's literature Publisher HarperCollins Published 16 October 1950 -- 4 September 1956 Media type Print ( hardcover and paperback )",what comes after voyage of the dawn treader,The Silver Chair,"The Chronicles of Narnia series by C.S. Lewis:

1. The Lion, the Witch and the Wardrobe (1950)
2. Prince Caspian",The Silver Chair.
"Binomial nomenclature ( `` two - term naming system '' ) also called binominal nomenclature ( `` two - name naming system '' ) or binary nomenclature , is a formal system of naming species of living things by giving each a name composed of two parts , both of which use Latin grammatical forms , although they can be based on words from other languages . Such a name is called a binomial name ( which may be shortened to just `` binomial '' ) , a binomen , binominal name or a scientific name ; more informally it is also called a Latin name . The first part of the name identifies the genus to which the species belongs ; the second part -- the specific name or specific epithet -- identifies the species within the genus . For example , humans belong to the genus Homo and within this genus to the species Homo sapiens . Tyrannosaurus rex is probably the most widely known binomial . The formal introduction of this system of naming species is credited to Carl Linnaeus , effectively beginning with his work Species Plantarum in 1753 . But Gaspard Bauhin , in as early as 1623 , had introduced in his book Pinax theatri botanici ( English , Illustrated exposition of plants ) many names of genera that were later adopted by Linnaeus .",write the name of father of binomial nomenclature,Carl Linnaeus,Carolus Linnaeus,Carl Linnaeus.
"The eaves are the edges of the roof which overhang the face of a wall and , normally , project beyond the side of a building . The eaves form an overhang to throw water clear of the walls and may be highly decorated as part of an architectural style ; such as the Chinese dougong bracket systems .",what is the name of the overhanging edges of a roof,eaves,Eaves,Eaves.
"The Armistice of 11 November 1918 was the armistice that ended fighting on land , sea and air in World War I between the Allies and their last opponent , Germany . Previous armistices had eliminated Bulgaria , the Ottoman Empire and the Austro - Hungarian Empire . Also known as the Armistice of Compiègne from the place where it was signed , it came into force at 11 a.m. Paris time on 11 November 1918 ( `` the eleventh hour of the eleventh day of the eleventh month '' ) and marked a victory for the Allies and a complete defeat for Germany , although not formally a surrender .",date of the armistice that ended world war i,11 November 1918,Armistice of Compiègne,11 November 1918
"New Jersey Devils 2018 -- 19 New Jersey Devils season Conference Eastern Division Metropolitan Founded History Kansas City Scouts 1974 -- 1976 Colorado Rockies 1976 -- 1982 New Jersey Devils 1982 -- present Home arena Prudential Center City Newark , New Jersey Colors Red , black , white Media MSG Plus MSG 2 MSG CBS 2 WFAN ( 66 AM ) and 101.9 FM ) Bloomberg Radio ( 1130 AM ) Owner ( s ) New Jersey Devils , LLC ( Josh Harris , governor ) General manager Ray Shero Head coach John Hynes Captain Andy Greene Minor league affiliates Binghamton Devils ( AHL ) Adirondack Thunder ( ECHL ) Stanley Cups 3 ( 1994 -- 95 , 1999 -- 00 , 2002 -- 03 ) Conference championships 5 ( 1994 -- 95 , 1999 -- 00 , 2000 -- 01 , 2002 -- 03 , 2011 -- 12 ) Presidents ' Trophy 0 Division championships 9 ( 1996 -- 97 , 1997 -- 98 , 1998 -- 99 , 2000 -- 01 , 2002 -- 03 , 2005 -- 06 , 2006 -- 07 , 2008 -- 09 , 2009 -- 10 ) Official website nhl.com/devils",when did new jersey devils win the stanley cups,"1994 -- 95 , 1999 -- 00 , 2002 -- 03",None,"1994-95, 1999-00, 2002-03."
"A ureteral stent , sometimes as well called ureteric stent , is a thin tube inserted into the ureter to prevent or treat obstruction of the urine flow from the kidney . The length of the stents used in adult patients varies between 24 and 30 cm . Additionally , stents come in differing diameters or gauges , to fit different size ureters . The stent is usually inserted with the aid of a cystoscope . One or both ends of the stent may be coiled to prevent it from moving out of place ; this is called a JJ stent , double J stent or pig - tail stent .",where is a stent inserted for kidney stones,the ureter,Kidney stone stent insertion:,With the aid of a cystoscope.
"2017 Women 's Hockey Asia Cup Tournament details Host country Japan City Kakamigahara , Gifu Dates 28 October -- 5 November Teams 8 Venue ( s ) 1 ( in 1 host city ) Top three teams Champions India ( 2nd title ) Runner - up China Third place South Korea Tournament statistics Matches played 24 Goals scored 134 ( 5.58 per match ) Top scorer ( s ) Zhong Jiaqi ( 11 goals ) ← 2013 ( previous ) ( next ) 2021 →",who won the 2017 womens hockey asia cup held in the month of october-november 2017 in japan,India,China won the 2017 Women's Asia Cup.,India won the 2017 Women's Hockey Asia Cup.
"The Constitutional Convention ( also known as the Philadelphia Convention , the Federal Convention , or the Grand Convention at Philadelphia ) took place from May 25 to September 17 , 1787 , in Philadelphia , Pennsylvania . Although the Convention was intended to revise the Articles of Confederation , the intention from the outset of many of its proponents , chief among them James Madison and Alexander Hamilton , was to create a new government rather than fix the existing one . The delegates elected George Washington to preside over the Convention . The result of the Convention was the creation of the United States Constitution , placing the Convention among the most significant events in the history of the United States .",who was the president of the constitutional convention,George Washington,George Washington,George Washington.
"The Cold War was a state of geopolitical tension after World War II between powers in the Eastern Bloc ( the Soviet Union and its satellite states ) and powers in the Western Bloc ( the United States , its NATO allies and others ) . Historians do not fully agree on the dates , but a common timeframe is the period between 1947 , the year the Truman Doctrine , a U.S. foreign policy pledging to aid nations threatened by Soviet expansionism , was announced , and either 1989 , when communism fell in Eastern Europe , or 1991 , when the Soviet Union collapsed . The term `` cold '' is used because there was no large - scale fighting directly between the two sides , but they each supported major regional wars known as proxy wars .",who were the two opposing sides in the cold war,"the Eastern Bloc ( the Soviet Union and its satellite states ) and powers in the Western Bloc ( the United States , its NATO allies and others )","Capitalist Allies: 
1. United States
2. United Kingdom
3. Canada
4. West Germany
5. France

Communist Bloc: 
1","Eastern Bloc (Soviet Union and satellite states) 
Western Bloc (United States, NATO allies, and others)"
Athletics 800 metres 800 metres final in Daegu 2011 . Men 's records World David Rudisha 1 : 40.91 ( 2012 ) Olympic David Rudisha 1 : 40.91 ( 2012 ) Women 's records World Jarmila Kratochvílová 1 : 53.28 ( 1983 ) Olympic Nadezhda Olizarenko 1 : 53.43 ( 1980 ),who holds the women's 800m world record,Jarmila Kratochvílová,Nadia Neidig (Germany),Jarmila Kratochvílová
"Bloom 's taxonomy is a set of three hierarchical models used to classify educational learning objectives into levels of complexity and specificity . The three lists cover the learning objectives in cognitive , affective and sensory domains . The cognitive domain list has been the primary focus of most traditional education and is frequently used to structure curriculum learning objectives , assessments and activities .",bloom’s taxonomy is a hierarchy of critical thinking skills represented as a,educational learning objectives,Taxonomic categories.,Hierarchy
"United States Constitution Page one of the original copy of the Constitution Created September 17 , 1787 Ratified June 21 , 1788 Date effective March 4 , 1789 ; 228 years ago ( 1789 - 03 - 04 ) Location National Archives , Washington , D.C. Author ( s ) Philadelphia Convention Signatories 39 of the 55 delegates Purpose To replace the Articles of Confederation ( 1777 )",when was the constitution of united states written,"September 17 , 1787","July 4, 1776","September 17, 1787"
"Office of the Comptroller of the Currency Seal of the Office of the Comptroller of the Currency Logo of the Office of the Comptroller of the Currency Flag of the Comptroller of the Currency Agency overview Formed February 25 , 1863 Headquarters Washington , D.C. Employees 3,973 ( as of December 2016 ) Agency executive Joseph Otting , Comptroller Parent agency Department of the Treasury Website www.OCC.gov",where is the office of the comptroller of the currency located,"Washington , D.C.","Washington, D.C.","Washington, D.C."
"The Hanging Gardens of Babylon were one of the Seven Wonders of the Ancient World as listed by Hellenic culture , described as a remarkable feat of engineering with an ascending series of tiered gardens containing a wide variety of trees , shrubs , and vines , resembling a large green mountain constructed of mud bricks , and said to have been built in the ancient city of Babylon , near present - day Hillah , Babil province , in Iraq .",where is the hanging gardens of babylon located,"the ancient city of Babylon , near present - day Hillah , Babil province , in Iraq","Babylon, Iraq","Near present-day Hillah, Babil province, Iraq."
"Mitochondrial DNA ( mtDNA or mDNA ) is the DNA located in mitochondria , cellular organelles within eukaryotic cells that convert chemical energy from food into a form that cells can use , adenosine triphosphate ( ATP ) . Mitochondrial DNA is only a small portion of the DNA in a eukaryotic cell ; most of the DNA can be found in the cell nucleus and , in plants and algae , also in plastids such as chloroplasts .",an organism's traits that are passed on to its offspring through genetic material are its,DNA,Genetic traits,Genetic traits.
"Okazaki fragments are short , newly synthesized DNA fragments that are formed on the lagging template strand during DNA replication . They are complementary to the lagging template strand , together forming short double - stranded DNA sections . Okazaki fragments are between 1000 and 2000 nucleotides long in prokaryotes ( e.g. Escherichia coli ) and are roughly 100 to 200 nucleotides long in eukaryotes . They are separated by ~ 120 - nucleotide RNA primers and are unligated until RNA primers are removed , followed by enzyme ligase connecting ( ligating ) an Okazaki fragment onto the ( now continuous ) newly synthesized complementary strand .",which enzyme seals the gap between the okazaki fragments,ligase,DNA Polymerase Gamma,Enzyme ligase.
"In astrophysics , spaghettification ( sometimes referred to as the noodle effect ) is the vertical stretching and horizontal compression of objects into long thin shapes ( rather like spaghetti ) in a very strong non-homogeneous gravitational field ; it is caused by extreme tidal forces . In the most extreme cases , near black holes , the stretching is so powerful that no object can withstand it , no matter how strong its components . Within a small region the horizontal compression balances the vertical stretching so that small objects being spaghettified experience no net change in volume .",what is meant by the term spaghettification applied to falling into a black hole,the vertical stretching and horizontal compression of objects into long thin shapes ( rather like spaghetti ) in a very strong non-homogeneous gravitational field,Gravitational stretching.,Extreme tidal forces cause objects to stretch and compress into long thin shapes.
"Sanchez Sánchez is the most common surname in the Spanish provinces of Cáceres and Salamanca Pronunciation Spanish : ( ' santʃeθ ) , in Latin America : ( ' santʃes ) Origin Region of origin Spain Meaning `` Son of Sancho '' Other names Variant ( s ) Sanches",where did the last name sanchez originate from,Spain,Originated in Spain.,Spain.
"The State of Texas Assessments of Academic Readiness , commonly referred to as its acronym STAAR ( / stɑːr / STAR ) , are a series of state - mandated standardized tests used in Texas public primary and secondary schools to assess a student 's achievements and knowledge learned in the grade level . It tests curriculum taught from the Texas Essential Knowledge and Skills , which in turn is taught by public schools . The test used to be developed by Pearson Education every school year , although the most recent contract gave Educational Testing Service a role in creating some of the tests , under the close supervision of the Texas Education Agency .",what is the point of the staar test,assess a student 's achievements and knowledge learned in the grade level .,The STAAR test is a standardized assessment.,To assess student achievements and knowledge.
"Cristiano Ronaldo is the all - time top goalscorer for the Portugal national football team and has the most goals among currently active players . As of 26 March 2018 , he has scored 81 goals in 149 appearances since his debut on 20 August 2003 .",who has more international goals messi or ronaldo,Ronaldo,Ronaldo - 98,Ronaldo has more.
"Battles of Lexington and Concord Part of the American Revolutionary War Romanticized 19th - century depiction of Battle of Lexington Date April 19 , 1775 ; 243 years ago ( 1775 - 04 - 19 ) Location Middlesex County , Massachusetts Lexington : 42 ° 26 ′ 58.7 '' N 71 ° 13 ′ 51.0 '' W ﻿ / ﻿ 42.449639 ° N 71.230833 ° W ﻿ / 42.449639 ; - 71.230833 ﻿ ( Lexington ) Coordinates : 42 ° 26 ′ 58.7 '' N 71 ° 13 ′ 51.0 '' W ﻿ / ﻿ 42.449639 ° N 71.230833 ° W ﻿ / 42.449639 ; - 71.230833 ﻿ ( Lexington ) Concord : 42 ° 28 ′ 08.54 '' N 71 ° 21 ′ 02.08 '' W ﻿ / ﻿ 42.4690389 ° N 71.3505778 ° W ﻿ / 42.4690389 ; - 71.3505778 ﻿ ( Concord ) Result Strategic American victory British forces succeed in destroying cannon and supplies in Concord Militia successfully drive British back to Boston Start of the American Revolutionary War Belligerents Massachusetts Bay Great Britain Commanders and leaders John Parker James Barrett John Buttrick John Robinson William Heath Joseph Warren Isaac Davis † Francis Smith John Pitcairn ( WIA ) Hugh Percy Strength Lexington : 77 Concord : 400 End of Battle : 3,960 Departing Boston : 700 Lexington : 400 Concord : 100 End of Battle : 1,500 Casualties and losses 49 killed 39 wounded 5 missing 73 killed 174 wounded 53 missing",who participated in the battle of lexington and concord,Massachusetts Bay Great Britain,"American colonists 
British Redcoats 
American militia 
Paul Revere 
William Dawes 
John Hancock 
Samuel Adams 
John Parker 
John Stark","Massachusetts Bay militia, 
British forces."
"2014 FIFA World Cup Final Germany 's Mario Götze scores the match - winning goal in the 113th minute Event 2014 FIFA World Cup Germany Argentina 0 After extra time Date 13 July 2014 ( 2014 - 07 - 13 ) Venue Maracanã Stadium , Rio de Janeiro Man of the Match Mario Götze ( Germany ) Referee Nicola Rizzoli ( Italy ) Attendance 74,738 Weather Partly cloudy 23 ° C ( 73 ° F ) 65 % humidity ← 2010 2018 →",who did germany play in the world cup final 2014,Argentina,Argentina,Argentina
"The Cambridge equation formally represents the Cambridge cash - balance theory , an alternative approach to the classical quantity theory of money . Both quantity theories , Cambridge and classical , attempt to express a relationship among the amount of goods produced , the price level , amounts of money , and how money moves . The Cambridge equation focuses on money demand instead of money supply . The theories also differ in explaining the movement of money : In the classical version , associated with Irving Fisher , money moves at a fixed rate and serves only as a medium of exchange while in the Cambridge approach money acts as a store of value and its movement depends on the desirability of holding cash .",explain cambridge version of the quantity theory of money,"attempt to express a relationship among the amount of goods produced , the price level , amounts of money , and how money moves","Cambridge Quantity Theory (CQT): 

- Introduced by: Roy Harrod (1936)
- Assumption: Money is neutral
- Equation: MV = PT",The Cambridge version of the quantity theory of money focuses on money demand and explains the movement of money as a store of value.
"A Wrinkle in Time Theatrical release poster Directed by Ava DuVernay Produced by Jim Whitaker Catherine Hand Screenplay by Jennifer Lee Jeff Stockwell Based on A Wrinkle in Time by Madeleine L'Engle Starring Oprah Winfrey Reese Witherspoon Mindy Kaling Gugu Mbatha - Raw Michael Peña Storm Reid Zach Galifianakis Chris Pine Music by Ramin Djawadi Cinematography Tobias A. Schliessler Edited by Spencer Averick Production companies Walt Disney Pictures Whitaker Entertainment Distributed by Walt Disney Studios Motion Pictures Release date February 26 , 2018 ( 2018 - 02 - 26 ) ( El Capitan Theatre ) March 9 , 2018 ( 2018 - 03 - 09 ) ( United States ) Running time 109 minutes Country United States Language English Budget $100 -- 130 million Box office $129.4 million",who wrote screenplay for a wrinkle in time,Jennifer Lee Jeff Stockwell,Madeleine L'Engle,Jennifer Lee and Jeff Stockwell.
"Silver , Ag General properties Appearance lustrous white metal Standard atomic weight ( A ) 7002107868200000000 ♠ 107.8682 ( 2 ) Silver in the periodic table Hydrogen Helium Lithium Beryllium Boron Carbon Nitrogen Oxygen Fluorine Neon Sodium Magnesium Aluminium Silicon Phosphorus Sulfur Chlorine Argon Potassium Calcium Scandium Titanium Vanadium Chromium Manganese Iron Cobalt Nickel Copper Zinc Gallium Germanium Arsenic Selenium Bromine Krypton Rubidium Strontium Yttrium Zirconium Niobium Molybdenum Technetium Ruthenium Rhodium Palladium Silver Cadmium Indium Tin Antimony Tellurium Iodine Xenon Caesium Barium Lanthanum Cerium Praseodymium Neodymium Promethium Samarium Europium Gadolinium Terbium Dysprosium Holmium Erbium Thulium Ytterbium Lutetium Hafnium Tantalum Tungsten Rhenium Osmium Iridium Platinum Gold Mercury ( element ) Thallium Lead Bismuth Polonium Astatine Radon Francium Radium Actinium Thorium Protactinium Uranium Neptunium Plutonium Americium Curium Berkelium Californium Einsteinium Fermium Mendelevium Nobelium Lawrencium Rutherfordium Dubnium Seaborgium Bohrium Hassium Meitnerium Darmstadtium Roentgenium Copernicium Nihonium Flerovium Moscovium Livermorium Tennessine Oganesson Cu ↑ Ag ↓ Au palladium ← silver → cadmium Atomic number ( Z ) 47 Group group 11 Period period 5 Block d - block Element category transition metal Electron configuration ( Kr ) 4d 5s Electrons per shell 2 , 8 , 18 , 18 , 1 Physical properties Phase at STP solid Melting point 1234.93 K ​ ( 961.78 ° C , ​ 1763.2 ° F ) Boiling point 2435 K ​ ( 2162 ° C , ​ 3924 ° F ) Density ( near r.t. ) 10.49 g / cm when liquid ( at m.p. ) 9.320 g / cm Heat of fusion 11.28 kJ / mol Heat of vaporisation 254 kJ / mol Molar heat capacity 25.350 J / ( mol K ) Vapour pressure P ( Pa ) 10 100 1 k 10 k 100 k at T ( K ) 1283 1413 1575 1782 2055 2433 Atomic properties Oxidation states − 2 , − 1 , 1 , 2 , 3 ​ ( an amphoteric oxide ) Electronegativity Pauling scale : 1.93 Ionisation energies 1st : 731.0 kJ / mol 2nd : 2070 kJ / mol 3rd : 3361 kJ / mol Atomic radius empirical : 144 pm Covalent radius 145 ± 5 pm Van der Waals radius 172 pm Spectral lines of silver Other properties Crystal structure ​ face - centred cubic ( fcc ) Speed of sound thin rod 2680 m / s ( at r.t. ) Thermal expansion 18.9 μm / ( m K ) ( at 25 ° C ) Thermal conductivity 429 W / ( m K ) Thermal diffusivity 174 mm / s ( at 300 K ) Electrical resistivity 15.87 nΩ m ( at 20 ° C ) Magnetic ordering diamagnetic Magnetic susceptibility − 19.5 10 cm / mol ( 296 K ) Young 's modulus 83 GPa Shear modulus 30 GPa Bulk modulus 100 GPa Poisson ratio 0.37 Mohs hardness 2.5 Vickers hardness 251 MPa Brinell hardness 206 -- 250 MPa CAS Number 7440 - 22 - 4 History Discovery before 5000 BC Main isotopes of silver Isotope Abundance Half - life ( t ) Decay mode Product Ag syn 41.2 d ε Pd γ -- Ag syn 8.28 d ε Pd γ -- Ag 51.839 % stable Ag syn 418 y ε Pd IT Ag γ -- Ag 48.161 % stable Ag syn 7.45 d β Cd γ -- view talk references",what state of matter is silver commonly found in,solid,Solid,Solid
"How It 's Made Created by Gabriel Hoss Presented by Mark Tewksbury ( 2001 ) Lynn Herzeg ( 2002 -- 2004 ) June Wallack ( 2005 ) Lynne Adams ( 2006 -- present ) Tony Hirst ( United Kingdom ) Country of origin Canada Original language ( s ) English No. of seasons 29 No. of episodes 377 ( list of episodes ) Production Running time 30 minutes ( including commercials ) Release Original network Z ( Quebec ) Discovery Science ( Canada ) Science ( United States ) Discovery Channel ( United States ) Discovery Channel ( Canada ) Quest ( United Kingdom ) Picture format 480i ( SDTV ) ( 2001 - 2009 ) 1080i ( HDTV ) ( 2009 - present ) Original release January 6 , 2001 -- present External links Website",who is the voice of how it's made,Lynne Adams,Willard Scott,Mark Tewksbury
"Arab Republic of Egypt Ministry of Higher Education Emblem of Egypt Agency overview Formed 9 November 1961 ; 56 years ago ( 1961 - 11 - 09 ) Jurisdiction Egypt Headquarters Cairo Agency executive Khaled Abdel Ghaffar , Minister Website Official website",minister of higher education and scientific research egypt,Khaled Abdel Ghaffar,"Minister of Higher Education and Scientific Research, Egypt:
- Dr. Mustafa Wazir (2022-present)
- Dr. Khaled Abdel-Aziz El-M",Khaled Abdel Ghaffar
"The Public Directed by Emilio Estevez Produced by Emilio Estevez Lisa Niedenthal Alex Lebovici Steve Ponce Written by Emilio Estevez Starring Emilio Estevez Jena Malone Christian Slater Alec Baldwin Gabrielle Union Jacob Vargas Music by Tyler Bates Cinematography Juan Miguel Azpiroz Edited by Richard Chew Yang Hua Hu Release date January 31 , 2018 ( 2018 - 01 - 31 ) ( SBIFF ) Country United States Language English Budget N / A",when is the movie the public coming out,"January 31 , 2018","I couldn't find any information on a movie called ""The Public"".","January 31, 2018."
"The active history of broadcasting in Canada begins in 1921 , as Canadians were swept up in the radio craze and built radio sets to listen to American stations .",when did the radio become popular in canada,1921,"Radio in Canada:
- First broadcast: 1919
- Popularized: 1920s",1921
"In the United States , presidential job approval ratings were introduced by George Gallup in the late 1930s ( probably 1937 ) to gauge public support for the President of the United States during his term . An approval rating is a percentage determined by a polling which indicates the percentage of respondents to an opinion poll who approve of a particular person or program . Typically , an approval rating is given to a political figure based on responses to a poll in which a sample of people are asked whether they approve or disapprove of that particular political figure . A typical question might ask :",where does the president approval rating come from,an opinion poll,Gallup Poll.,George Gallup.
"YouTube Play Buttons , a part of the YouTube Creator Rewards , are a recognition by YouTube of its most popular channels .",when do you get a play button from youtube,most popular channels,"Monetization: 1,000 subscribers, 4,000 watch hours.","You get a play button when you reach 100,000 subscribers."
"The Joy of Painting Starring Bob Ross Opening theme Interlude by Larry Owens Country of origin United States Original language ( s ) English No. of seasons 31 No. of episodes 403 Production Running time 30 minutes Distributor Interregional Program Service / American Program Service Release Original network PBS Original release January 11 , 1983 -- May 17 , 1994 Chronology Related shows The Magic of Oil Painting External links Website",how many seasons of bob ross was there,31,There were 9 seasons of Bob Ross.,31 seasons.
"`` Niagara '' The Office episode Episode no . Season 6 Episode 4 / 5 Directed by Paul Feig Written by Greg Daniels Mindy Kaling Production code 604 / 605 Original air date October 8 , 2009 Running time 44 minutes Guest appearance ( s ) Linda Purl as Helene Beesly Anna Camp as Penny Beesly Kelen Coleman as Isabel Poreba Tug Coker as Pete Halpert Michelle Gunn as the hotel receptionist Rick Overton as William Beesly Robert Pine as Gerald Halpert Blake Robbins as Tom Halpert Bobby Ray Shafer as Bob Vance Perry Smith as Betsy Halpert Peggy Stewart as Sylvia Episode chronology ← Previous `` The Promotion '' Next → `` Mafia '' The Office ( U.S. season 6 ) List of The Office ( U.S. TV series ) episodes",what was the date of jim and pams wedding,"October 8 , 2009",I need more information about Jim and Pam.,I do not know.
"The appointment and confirmation of Justices to the Supreme Court of the United States involves several steps set forth by the United States Constitution , which have been further refined and developed by decades of tradition . Candidates are nominated by the President of the United States and must face a series of hearings in which both the nominee and other witnesses make statements and answer questions before the Senate Judiciary Committee , which can vote to send the nomination to the full United States Senate . Confirmation by the Senate allows the President to formally appoint the candidate to the court .",who approves presidential appointments to the supreme court,the Senate,The Senate approves.,The Senate.
"In macroeconomics , aggregate demand ( AD ) or domestic final demand ( DFD ) is the total demand for final goods and services in an economy at a given time . It specifies the amounts of goods and services that will be purchased at all possible price levels . This is the demand for the gross domestic product of a country . It is often called effective demand , though at other times this term is distinguished .",the total demand for goods and services at a given price level is also known as,aggregate demand ( AD ) or domestic final demand ( DFD ),Total Demand,Total demand at a price level.
"Peter and the Wolf ( Russian : `` Петя и волк '' ; Russian pronunciation : ( ˈpjetjə i volk ) ) , Op. 67 , a ' symphonic fairy tale for children ' , is a musical composition written by Sergei Prokofiev in 1936 . The narrator tells a children 's story , while the orchestra illustrates it . It is Prokofiev 's most frequently performed work , and one of the most frequently performed works in the entire classical repertoire . It has been recorded many times .",who wrote the music for peter and the wolf,Sergei Prokofiev,Mikhail Prokofiev,Sergei Prokofiev.
"Essendon Football Club Names Full name Essendon Football Club Nickname ( s ) Bombers , Dons , Same Olds Motto Suaviter in Modo , Fortiter in Re ( Gently in manner , resolutely in execution ) 2017 season After finals 8th Home - and - away season 7th Leading goalkicker Joe Daniher ( 65 ) W.S. Crichton Medal Joe Daniher Club details Founded 1871 ; 146 years ago ( 1871 ) Colours Red Black Competition Australian Football League Chairman Lindsay Tanner CEO Xavier Campbell Coach John Worsfold Captain ( s ) Dyson Heppell Premierships VFL / AFL ( 16 ) : 1897 , 1901 , 1911 , 1912 , 1923 , 1924 , 1942 , 1946 , 1949 , 1950 , 1962 , 1965 , 1984 , 1985 , 1993 , 2000 VFA ( 4 ) : 1891 , 1892 , 1893 , 1894 Ground ( s ) Etihad Stadium ( main venue ) ( capacity : 56,347 ) Melbourne Cricket Ground ( some games ) ( capacity : 100,024 ) Former ground ( s ) East Melbourne Cricket Ground ( 1897 -- 1921 ) Windy Hill ( 1922 -- 91 ) ( 1922 -- 91 ) Training ground ( s ) True Value Solar Centre Uniforms Home Away Other information Official website essendonfc.com.au Current season",when was the last time essendon won a grand final,2000,"Essendon 2000, 2000",1984
"Daylight saving time in the United States is the practice of setting the clock forward by one hour during the warmer part of the year , so that evenings have more daylight and mornings have less . Most areas of the United States observe daylight saving time ( DST ) , the exceptions being Arizona ( except for the Navajo , who do observe daylight saving time on tribal lands ) , Hawaii , and the overseas territories of American Samoa , Guam , the Northern Mariana Islands , Puerto Rico , and the United States Virgin Islands . The Uniform Time Act of 1966 established the system of uniform Daylight Saving Time throughout the US .",states that do not have daylight saving time,"Arizona ( except for the Navajo , who do observe daylight saving time on tribal lands ) , Hawaii","1. Hawaii
2. Arizona (except Navajo Nation)
3. American Samoa
4. Guam
5. Northern Mariana Islands
6. Puerto Rico
","Arizona (except Navajo), Hawaii."
"The Parable of the Sower ( sometimes called the Parable of the Soils ) is a parable of Jesus found in the three Synoptic Gospels in Matthew 13 : 1 - 23 , Mark 4 : 1 - 20 , and Luke 8 : 1 - 15 . In the story , a sower sows seed ; some seed falls on the path ( way side ) , on rocky ground and among thorns , and it is lost , but when it falls on good earth it grows , yielding thirty , sixty , and a hundredfold .",who is the sower in the parable of the sower,Jesus,Jesus Christ,Jesus is the sower.
Bacterial conjugation is the transfer of genetic material between bacterial cells by direct cell - to - cell contact or by a bridge - like connection between two cells . It is a mechanism of horizontal gene transfer as are transformation and transduction although these two other mechanisms do not involve cell - to - cell contact .,where is the genetic material of bacterium found,bacterial cells,Cell wall.,In the bacterial cell.
"Satluj Yamuna Link Canal ( SARYU ) or SYL as it is popularly known , is a proposed 214 - kilometer ( 133 mi ) long canal in India to connect the Sutlej and Yamuna rivers . However , the proposal met obstacles and was referred to the Supreme Court of India . It defines river water sharing between the states of Punjab and Haryana . Captain Abhimanyu , Finance Minister of Haryana , while presenting the Government of Haryana 2018 - 19 budget in March 2018 announced that the INR 100 crore ( 1 billion ) funds have been for completion of the construction of SYL .",sutlej yamuna link canal dispute in india is between,Punjab and Haryana,"Haryana, Uttar Pradesh, Rajasthan",Punjab and Haryana.
"New York City 's five boroughs Jurisdiction Population Land area Density Borough County Estimate ( 2016 ) square miles square km persons / sq. mi persons / sq. km Manhattan New York 1,643,734 22.83 59.1 72,033 27,826 The Bronx Bronx 1,455,720 42 110 34,653 13,231 Brooklyn Kings 2,629,150 71 180 37,137 14,649 Queens Queens 2,333,054 109 280 21,460 8,354 Staten Island Richmond 476,015 58.5 152 8,112 3,132 City of New York 8,537,673 303.33 781.1 28,188 10,947 State of New York 19,745,289 47,214 122,284 416.4 159 Sources : see individual borough articles",which borough has the largest population in new york city,Brooklyn,Queens.,Manhattan has the largest population.
"The Wizarding World of Harry Potter Hogwarts Castle , which houses Harry Potter and the Forbidden Journey Universal 's Islands of Adventure Status Operating Cost GBP £ 134 million USD $200 million Soft opening date June 1 , 2010 Opening date June 18 , 2010 ( 2010 - 06 - 18 ) Replaced Merlinwood ( The Lost Continent ) Universal Studios Florida Status Operating Cost USD $256 million Soft opening date July 3 , 2014 Opening date July 8 , 2014 Replaced Jaws General statistics Attraction type Themed zone Designer Universal Creative Theme Harry Potter Size Phase 1 : 20 acres ( 8.1 ha )",when did wizarding world of harry potter open,"July 3 , 2014","The Wizarding World of Harry Potter opened at Universal Studios Florida on June 18, 2010.","June 18, 2010"
"The Big Four or The Four Nations refer to the four top Allied powers of the World War I and their leaders who met at the Paris Peace Conference in January 1919 . The Big Four is also known as the Council of Four . It was composed of Woodrow Wilson of the United States , David Lloyd George of Britain , Vittorio Emanuele Orlando of Italy , and Georges Clemenceau of France .",which four world leaders attended the versailles peace conference,"Woodrow Wilson of the United States , David Lloyd George of Britain , Vittorio Emanuele Orlando of Italy , and Georges Clemenceau of France","1. Woodrow Wilson
2. David Lloyd George
3. Georges Clemenceau
4. Vittorio Orlando","Woodrow Wilson, David Lloyd George, Vittorio Emanuele Orlando, Georges Clemenceau."
